"","post_id","word","n"
"754","31672","indent",8
"755","31672","left",8
"756","31672","letter",8
"757","31672","sans",8
"758","31672","serif",8
"759","31672","size",8
"760","31672","space",8
"761","31672","transform",8
"762","31672","variant",8
"763","31672","white",8
"764","31672","word",8
"765","31679","text",8
"766","32062","questions",8
"767","32402","color",8
"768","32402","rgb",8
"769","32402","spacing",8
"770","32402","span",8
"771","32403","text",8
"772","32404","border",8
"773","32404","sizing",8
"774","32405","box",8
"775","32407","spacing",8
"776","32408","spacing",8
"777","32410","color",8
"778","32410","rgb",8
"779","32410","spacing",8
"780","32410","style",8
"781","32448","text",8
"782","32449","color",8
"783","32449","rgb",8
"784","32449","spacing",8
"785","32449","span",8
"786","32449","style",8
"787","32451","text",8
"788","32498","text",8
"789","32874","indent",8
"790","33063","color",8
"791","33063","rgb",8
"792","33063","style",8
"793","33073","li",8
"794","33077","text",8
"795","33369","tsdi",8
"796","33583","water",8
"797","33719","tsdi",8
"798","34033","span",8
"799","34035","span",8
"800","34226","data",8
"801","34242","data",8
"802","34302","spacing",8
"803","34302","span",8
"804","34302","style",8
"805","34320","text",8
"806","34351","text",8
"807","34424","25in",8
"808","34435","text",8
"809","34489","li",8
"810","34566","question",8
"811","34582","span",8
"812","34731","data",8
"813","34830","data",8
"814","34850","data",8
"815","35314","em",8
"816","35648","students",8
"817","36561","li",8
"818","36694","financial",8
"819","37309","set",8
"820","38120","statistics",8
"821","38448","li",8
"822","39346","task",8
"823","39467","_blank",8
"824","39467","href",8
"825","39467","target",8
"826","39477","data",8
"827","39700","data",8
"828","39905","data",8
"829","40007","_blank",8
"830","40007","href",8
"831","40007","statistics",8
"832","40007","target",8
"833","41531","_blank",8
"834","41531","href",8
"835","41531","target",8
"836","41531","tsdi",8
"837","41728","li",8
"838","42295","sat",8
"839","42303","class",8
"840","42305","class",8
"841","42588","li",8
"842","43660","_blank",8
"843","43660","statistics",8
"844","43660","target",8
"845","44348","ap",8
"846","44569","students",8
"847","45244","dir",8
"848","45244","ltr",8
"849","45245","dir",8
"850","45245","ltr",8
"851","45246","dir",8
"852","45246","ltr",8
"853","45248","dir",8
"854","45248","ltr",8
"855","45542","_blank",8
"856","45542","href",8
"857","45542","https",8
"858","45542","statistics",8
"859","45542","target",8
"860","45668","dir",8
"861","45668","ltr",8
"862","45709","dir",8
"863","45709","ltr",8
"864","45710","dir",8
"865","45710","ltr",8
"866","45713","dir",8
"867","45713","ltr",8
"868","45714","dir",8
"869","45714","ltr",8
"870","45720","rolls",8
"871","46013","statistics",8
"872","47566","https",8
"873","47982","amp",8
"874","49026","engage",8
"875","49697","_blank",8
"876","49697","target",8
"877","49723","activity",8
"878","49778","data",8
"879","49966","_blank",8
"880","49966","statistics",8
"881","49966","target",8
"882","49983","students",8
"883","50336","li",8
"884","50750","_blank",8
"885","50750","target",8
"886","50768","http",8
"887","50769","http",8
"888","50770","http",8
"889","50832","task",8
"890","51009","href",8
"891","52941","stats",8
"892","53900","_blank",8
"893","53900","href",8
"894","53900","target",8
"895","53907","statistics",8
"896","55912","coaster",8
"897","55913","coaster",8
"898","56256","li",8
"899","56890","statkey",8
"900","56928","coasters",8
"901","58131","li",8
"902","59407","technology",8
"903","59962","li",8
"904","60061","amp",8
"905","61269","names",8
"906","62421","students",8
"907","66929","statistics",8
"908","67151","data",8
"909","67497","li",8
"910","67499","_blank",8
"911","67499","href",8
"912","67499","https",8
"913","67499","li",8
"914","67499","target",8
"915","68446","learning",8
"916","12711","data",7
"917","13094","statistics",7
"918","13304","data",7
"919","13552","statistics",7
"920","14959","1",7
"921","14959","14px",7
"922","14959","20px",7
"923","14959","align",7
"924","14959","arial",7
"925","14959","auto",7
"926","14959","background",7
"927","14959","display",7
"928","14959","family",7
"929","14959","float",7
"930","14959","height",7
"931","14959","indent",7
"932","14959","inline",7
"933","14959","left",7
"934","14959","letter",7
"935","14959","line",7
"936","14959","orphans",7
"937","14959","sans",7
"938","14959","serif",7
"939","14959","size",7
"940","14959","space",7
"941","14959","stroke",7
"942","14959","transform",7
"943","14959","universroman",7
"944","14959","variant",7
"945","14959","webkit",7
"946","14959","weight",7
"947","14959","white",7
"948","14959","widows",7
"949","14959","width",7
"950","14959","word",7
"951","15287","data",7
"952","15350","class",7
"953","15350","hps",7
"954","15822","page",7
"955","16654","students",7
"956","16763","0px",7
"957","16823","students",7
"958","17712","statistics",7
"959","18014","size",7
"960","18023","students",7
"961","18577","students",7
"962","18605","0px",7
"963","18605","text",7
"964","18606","0px",7
"965","18606","text",7
"966","18608","0px",7
"967","18608","text",7
"968","18613","0px",7
"969","18613","data",7
"970","18613","text",7
"971","18722","students",7
"972","19199","unit",7
"973","19431","sample",7
"974","19726","students",7
"975","19829","statistics",7
"976","19875","animations",7
"977","19875","display",7
"978","19875","float",7
"979","19875","inline",7
"980","20002","href",7
"981","20198","dashed",7
"982","20198","line",7
"983","20576","real",7
"984","20986","data",7
"985","21167","data",7
"986","21167","students",7
"987","21201","students",7
"988","21394","href",7
"989","21593","href",7
"990","21597","students",7
"991","22162","statistics",7
"992","22166","math",7
"993","22830","school",7
"994","22830","travel",7
"995","23414","0px",7
"996","23414","text",7
"997","23415","0px",7
"998","23415","text",7
"999","23416","0px",7
"1000","23416","text",7
"1001","23417","0px",7
"1002","23417","text",7
"1003","23420","0px",7
"1004","23420","text",7
"1005","23421","0px",7
"1006","23421","text",7
"1007","25092","000000",7
"1008","25092","14.666666666666666px",7
"1009","25092","400",7
"1010","25092","align",7
"1011","25092","arial",7
"1012","25092","background",7
"1013","25092","baseline",7
"1014","25092","decoration",7
"1015","25092","dir",7
"1016","25092","family",7
"1017","25092","ltr",7
"1018","25092","size",7
"1019","25092","text",7
"1020","25092","transparent",7
"1021","25092","variant",7
"1022","25092","vertical",7
"1023","26037","data",7
"1024","26706","initial",7
"1025","26713","school",7
"1026","27959","students",7
"1027","28349","worthwhile",7
"1028","28422","students",7
"1029","30852","1.42857",7
"1030","30852","height",7
"1031","30852","line",7
"1032","32402","22.4px",7
"1033","32402","height",7
"1034","32402","line",7
"1035","32404","margin",7
"1036","32407","border",7
"1037","32407","sizing",7
"1038","32407","width",7
"1039","32408","border",7
"1040","32408","sizing",7
"1041","32408","width",7
"1042","32448","border",7
"1043","32448","sizing",7
"1044","32775","students",7
"1045","32874","10;11.0pt",7
"1046","32874","25pt",7
"1047","32874","5pt",7
"1048","32874","plots",7
"1049","32874","statistics",7
"1050","33495","questions",7
"1051","33495","students",7
"1052","33583","students",7
"1053","33693","hypothesis",7
"1054","34084","data",7
"1055","34208","data",7
"1056","34254","18.75pt",7
"1057","34254","left",7
"1058","34254","margin",7
"1059","34254","students",7
"1060","34310","notes",7
"1061","34315","data",7
"1062","34363","data",7
"1063","34400","data",7
"1064","34424","students",7
"1065","34424","text",7
"1066","34560","students",7
"1067","34638","students",7
"1068","34682","null",7
"1069","34692","tsdi",7
"1070","34762","questions",7
"1071","34853","site",7
"1072","34955","data",7
"1073","34956","data",7
"1074","34964","students",7
"1075","34970","science",7
"1076","34977","class",7
"1077","36561","students",7
"1078","36821","students",7
"1079","37064","data",7
"1080","37067","href",7
"1081","37067","statistics",7
"1082","37310","data",7
"1083","39346","students",7
"1084","39619","unfair",7
"1085","39905","analysis",7
"1086","40007","https",7
"1087","40327","question",7
"1088","41075","task",7
"1089","41442","students",7
"1090","41443","students",7
"1091","41531","https",7
"1092","41728","page",7
"1093","42243","data",7
"1094","42310","data",7
"1095","42323","https",7
"1096","43660","href",7
"1097","45244","http",7
"1098","45244","https",7
"1099","45245","http",7
"1100","45245","https",7
"1101","45246","http",7
"1102","45246","https",7
"1103","45248","http",7
"1104","45248","https",7
"1105","45668","http",7
"1106","45668","https",7
"1107","45709","http",7
"1108","45709","https",7
"1109","45710","http",7
"1110","45710","https",7
"1111","45713","http",7
"1112","45713","https",7
"1113","45714","http",7
"1114","45714","https",7
"1115","46013","href",7
"1116","46013","https",7
"1117","47737","homework",7
"1118","49093","data",7
"1119","49669","students",7
"1120","49697","id",7
"1121","49697","place.fi.ncsu.edu",7
"1122","49697","statistics",7
"1123","49778","students",7
"1124","49835","data",7
"1125","49966","id",7
"1126","49966","place.fi.ncsu.edu",7
"1127","50336","page",7
"1128","50417","_blank",7
"1129","50417","http",7
"1130","50417","noreferrer",7
"1131","50417","rel",7
"1132","50417","target",7
"1133","50533","statistics",7
"1134","50750","https",7
"1135","50847","data",7
"1136","51009","_blank",7
"1137","51009","statistics",7
"1138","51009","target",7
"1139","52122","activity",7
"1140","52122","students",7
"1141","52936","class",7
"1142","53141","students",7
"1143","53900","li",7
"1144","53907","_blank",7
"1145","53907","href",7
"1146","53907","target",7
"1147","53955","krdx",7
"1148","54458","v7",7
"1149","56256","_blank",7
"1150","56256","href",7
"1151","56256","target",7
"1152","56371","sample",7
"1153","57738","population",7
"1154","58136","_blank",7
"1155","58136","href",7
"1156","58136","https",7
"1157","58136","statistics",7
"1158","58136","target",7
"1159","58473","average",7
"1160","59720","tool",7
"1161","59962","_blank",7
"1162","59962","href",7
"1163","59962","target",7
"1164","60196","trials",7
"1165","63299","students",7
"1166","64187","ap",7
"1167","64399","_blank",7
"1168","64399","href",7
"1169","64399","https",7
"1170","64399","statistics",7
"1171","64399","target",7
"1172","65745","data",7
"1173","65872","color",7
"1174","65872","style",7
"1175","66880","data",7
"1176","67172","cars",7
"1177","67499","statistics",7
"1178","12711","mooc",6
"1179","12711","statistics",6
"1180","12863","http",6
"1181","13094","25in",6
"1182","13094","questions",6
"1183","13267","color",6
"1184","13267","rgb",6
"1185","13267","spacing",6
"1186","13267","span",6
"1187","13267","students",6
"1188","13267","style",6
"1189","13552","understand",6
"1190","13642","250",6
"1191","13642","data",6
"1192","13642","span",6
"1193","13824","255",6
"1194","13824","51",6
"1195","13824","box",6
"1196","13824","color",6
"1197","13826","255",6
"1198","13826","51",6
"1199","13826","box",6
"1200","13826","color",6
"1201","13828","255",6
"1202","13828","51",6
"1203","13828","box",6
"1204","13828","color",6
"1205","14157","255",6
"1206","14157","51",6
"1207","14365","box",6
"1208","14366","255",6
"1209","14366","51",6
"1210","14366","box",6
"1211","14366","color",6
"1212","14367","box",6
"1213","14368","16",6
"1214","14368","int",6
"1215","14368","normal",6
"1216","14481","statistics",6
"1217","14959","school",6
"1218","15287","lessons",6
"1219","15308","background",6
"1220","15514","style",6
"1221","15519","ul",6
"1222","15537","color",6
"1223","15537","rgb",6
"1224","15537","spacing",6
"1225","15537","span",6
"1226","15580","span",6
"1227","15685","245",6
"1228","15685","51",6
"1229","15685","text",6
"1230","15703","color",6
"1231","15703","rgb",6
"1232","15703","spacing",6
"1233","15703","span",6
"1234","15703","style",6
"1235","15822","li",6
"1236","15948","box",6
"1237","15948","color",6
"1238","15948","rgb",6
"1239","15948","sas",6
"1240","15948","spacing",6
"1241","15956","students",6
"1242","16084","data",6
"1243","16304","students",6
"1244","16328","color",6
"1245","16328","normal",6
"1246","16328","rgb",6
"1247","16328","style",6
"1248","16332","thinking",6
"1249","16594","students",6
"1250","16606","students",6
"1251","16616","students",6
"1252","16639","data",6
"1253","16639","students",6
"1254","16763","helvetica",6
"1255","16763","sans",6
"1256","16766","tasks",6
"1257","16767","0px",6
"1258","16767","255",6
"1259","16767","51",6
"1260","17067","data",6
"1261","17073","students",6
"1262","17299","statistics",6
"1263","17333","span",6
"1264","17477","statistics",6
"1265","17689","0",6
"1266","17689","0px",6
"1267","17689","255",6
"1268","17689","span",6
"1269","18023","level",6
"1270","18181","activity",6
"1271","18181","students",6
"1272","18262","students",6
"1273","18266","playing",6
"1274","18415","statistics",6
"1275","18532","data",6
"1276","18544","students",6
"1277","18722","data",6
"1278","18722","performing",6
"1279","18780","math",6
"1280","18791","data",6
"1281","18867","math",6
"1282","18923","students",6
"1283","19431","size",6
"1284","19437","data",6
"1285","19693","data",6
"1286","19724","sample",6
"1287","19831","data",6
"1288","19831","students",6
